JK;Usia;Asal;Biaya;Pekerjaan_Ortu;Pend_Ayah;Pend_Ibu;Kiriman;Pengeluaran;Beasiswa
PEREMPUAN;18;ACEH;2400000;PETANI;SMA/Sederajat;SMP;1250000;900000;YA
LAKI-LAKI;18;JAMBI;2400000;KARYAWAN SWASTA;DIPLOMA;SMA/Sederajat;600000;600000;TIDAK
LAKI-LAKI;18;BOGOR;2400000;PENSIUNAN;SMA/Sederajat;SMA/Sederajat;600000;450000;TIDAK
LAKI-LAKI;18;PADANG;6000000;PNS;SMA/Sederajat;DIPLOMA;350000;400000;YA
PEREMPUAN;17;PADANG;2400000;KARYAWAN SWASTA;SMA/Sederajat;SMA/Sederajat;800000;800000;YA
LAKI-LAKI;18;TULUNGAGUNG;8000000;PNS;S1;S1;1000000;690000;TIDAK
PEREMPUAN;18;TUBAN;0;KARYAWAN SWASTA;SMP;SMP;800000;500000;YA
LAKI-LAKI;18;KEDIRI;6000000;PNS;S1;SMA/Sederajat;800000;800000;TIDAK
PEREMPUAN;17;SULAWESI SELATAN;2400000;WIRASWASTA;S1;S1;400000;350000;YA
LAKI-LAKI;18;LAMPUNG;2400000;BURUH;SMP;SMA/Sederajat;700000;700000;YA
LAKI-LAKI;19;CIREBON;2400000;WIRASWASTA;SMP;SMP;300000;300000;YA
PEREMPUAN;18;KLATEN;2400000;PETANI;SMA/Sederajat;SMA/Sederajat;500000;450000;YA
PEREMPUAN;18;BANDUNG;2400000;WIRASWASTA;SMP;SMA/Sederajat;500000;500000;YA
PEREMPUAN;18;PEKALONGAN;2400000;TIDAK BEKERJA;SD;SD;300000;300000;YA
LAKI-LAKI;18;RIAU;6000000;KARYAWAN SWASTA;SMA/Sederajat;SMA/Sederajat;1000000;800000;TIDAK
PEREMPUAN;18;BOYOLALI;8000000;GURU;S1;SMP;800000;700000;TIDAK
PEREMPUAN;17;JAKARTA;2400000;IBU RUMAH TANGGA;DIPLOMA;SMA/Sederajat;500000;500000;TIDAK
PEREMPUAN;18;REMBANG;0;WIRASWASTA;SMA/Sederajat;SMA/Sederajat;1000000;800000;YA
PEREMPUAN;18;BEKASI;10000000;PNS;SMA/Sederajat;S1;500000;400000;YA
PEREMPUAN;18;BOGOR;0;WIRASWASTA;SMA/Sederajat;SD;550000;550000;YA
LAKI-LAKI;18;LAMPUNG;10000000;PEGAWAI BUMN;SMA/Sederajat;S1;1200000;1100000;TIDAK
LAKI-LAKI;18;BOGOR;8000000;PNS;SMA/Sederajat;SMA/Sederajat;650000;650000;TIDAK
PEREMPUAN;18;BANJARMASIN;8000000;PNS;S1;S1;1500000;1200000;TIDAK
PEREMPUAN;17;PAPUA BARAT;2400000;SUPIR;SMA/Sederajat;SMA/Sederajat;1000000;1000000;TIDAK
LAKI-LAKI;19;TASIKMALAYA;10000000;GURU;S2;S2;1000000;900000;TIDAK
LAKI-LAKI;18;RIAU;10000000;PEGAWAI BUMN;S1;SMA/Sederajat;1000000;1000000;TIDAK
PEREMPUAN;18;INDRAMAYU;6000000;WIRASWASTA;SMA/Sederajat;SMA/Sederajat;1500000;1000000;TIDAK
PEREMPUAN;18;PADANG;6000000;PETANI;SMA/Sederajat;DIPLOMA;800000;700000;TIDAK
PEREMPUAN;18;LAMPUNG;0;PETANI;SMA/Sederajat;SMA/Sederajat;500000;500000;YA
LAKI-LAKI;19;BANDUNG;10000000;PNS;S2;S1;1000000;800000;TIDAK
LAKI-LAKI;18;SERANG;2400000;WIRASWASTA;SMA/Sederajat;SD;500000;500000;YA
LAKI-LAKI;18;BOGOR;9000000;PNS;S1;S1;800000;400000;TIDAK
PEREMPUAN;18;CIREBON;2400000;KARYAWAN SWASTA;SMA/Sederajat;SD;600000;600000;YA
PEREMPUAN;18;CIREBON;0;WIRASWASTA;SMP;SMA/Sederajat;900000;900000;YA
PEREMPUAN;18;LAMPUNG;2400000;KARYAWAN SWASTA;SMP;SMP;200000;1000000;YA
PEREMPUAN;17;BOGOR;8000000;PNS;S1;SMA/Sederajat;1000000;1000000;TIDAK
LAKI-LAKI;18;JAKARTA;2400000;WIRASWASTA;S1;SMA/Sederajat;500000;500000;TIDAK
PEREMPUAN;18;TANGERANG;10000000;WIRASWASTA;SMA/Sederajat;SMA/Sederajat;1000000;800000;TIDAK
LAKI-LAKI;19;LAMPUNG;11000000;PEGAWAI BUMN;SD;SD;300000;500000;YA
LAKI-LAKI;18;BOGOR;6000000;PENSIUNAN;SMA/Sederajat;SMA/Sederajat;500000;400000;TIDAK
PEREMPUAN;18;LAMPUNG;2400000;WIRASWASTA;SMA/Sederajat;SMP;500000;500000;YA
PEREMPUAN;18;SUKABUMI;0;WIRASWASTA;SD;SD;800000;800000;YA
PEREMPUAN;17;PURWOREJO;2400000;PETANI;SMA/Sederajat;SD;600000;600000;YA
PEREMPUAN;18;DEPOK;6000000;WIRASWASTA;S1;S1;900000;700000;TIDAK
LAKI-LAKI;18;KEDIRI;2400000;PNS;SMA/Sederajat;S1;500000;500000;TIDAK
PEREMPUAN;17;DEPOK;8000000;KARYAWAN SWASTA;S1;DIPLOMA;750000;750000;TIDAK
LAKI-LAKI;18;BEKASI;10000000;KARYAWAN SWASTA;S1;S1;1000000;1000000;TIDAK
PEREMPUAN;17;SUMEDANG;8000000;PEGAWAI BUMN;S1;S1;1000000;900000;TIDAK
LAKI-LAKI;18;SOLO;8000000;PNS;SMA/Sederajat;S1;600000;600000;TIDAK
LAKI-LAKI;18;KEDIRI;2400000;WIRASWASTA;S1;SMA/Sederajat;500000;500000;YA
PEREMPUAN;18;BOGOR;2400000;PETANI;SD;SD;400000;350000;TIDAK
LAKI-LAKI;18;SUBANG;2400000;BURUH;SMP;SMA/Sederajat;750000;650000;YA
LAKI-LAKI;18;BOGOR;9000000;PNS;S2;S1;350000;300000;YA
LAKI-LAKI;19;BOGOR;2400000;WIRASWASTA;SMA/Sederajat;SMA/Sederajat;0;450000;YA
LAKI-LAKI;17;LAMPUNG;0;TIDAK BEKERJA;SMA/Sederajat;SMA/Sederajat;0;600000;YA
PEREMPUAN;18;JAKARTA;8000000;KARYAWAN SWASTA;S1;S1;600000;500000;TIDAK
PEREMPUAN;18;REMBANG;0;WIRASWASTA;SMA/Sederajat;SMP;600000;600000;YA
LAKI-LAKI;18;MOJOKERTO;2400000;WIRASWASTA;SMA/Sederajat;SMA/Sederajat;800000;700000;TIDAK
PEREMPUAN;18;PEMALANG;2400000;WIRASWASTA;SMA/Sederajat;SMP;500000;450000;YA
LAKI-LAKI;18;BOGOR;8000000;PNS;S1;SD;600000;0;TIDAK
PEREMPUAN;18;GARUT;0;PETANI;SMA/Sederajat;SMA/Sederajat;0;500000;YA
PEREMPUAN;18;BOGOR;8000000;KARYAWAN SWASTA;SMA/Sederajat;SMA/Sederajat;1000000;900000;TIDAK
PEREMPUAN;18;CIANJUR;8000000;PNS;DIPLOMA;DIPLOMA;800000;800000;TIDAK
PEREMPUAN;18;BEKASI;10000000;KARYAWAN SWASTA;S2;SMA/Sederajat;1000000;750000;TIDAK
LAKI-LAKI;18;JAKARTA;8000000;KARYAWAN SWASTA;S1;DIPLOMA;750000;650000;TIDAK
PEREMPUAN;18;JAKARTA;0;BURUH;SMP;SMP;400000;600000;YA
PEREMPUAN;18;LAMONGAN;2400000;PETANI;SD;SD;1000000;1000000;TIDAK
LAKI-LAKI;18;BOGOR;2400000;BURUH;SMA/Sederajat;SMA/Sederajat;500000;450000;TIDAK
LAKI-LAKI;18;BOGOR;6000000;KARYAWAN SWASTA;S1;DIPLOMA;1200000;900000;TIDAK
PEREMPUAN;18;PURBALINGGA;8000000;PETANI;DIPLOMA;S1;700000;700000;TIDAK
LAKI-LAKI;18;JAKARTA;6000000;KARYAWAN SWASTA;SMA/Sederajat;SMA/Sederajat;600000;600000;TIDAK
PEREMPUAN;18;MAKASSAR;10000000;WIRASWASTA;S1;S1;500000;500000;TIDAK
PEREMPUAN;18;PURWOKERTO;6000000;TNI/POLRI;SMA/Sederajat;SMA/Sederajat;1000000;1000000;TIDAK
LAKI-LAKI;17;PURBALINGGA;2400000;BURUH;SD;SMP;400000;400000;TIDAK
PEREMPUAN;18;DEPOK;6000000;PNS;S1;DIPLOMA;1000000;500000;TIDAK
PEREMPUAN;17;JAKARTA;8000000;PNS;SMA/Sederajat;SMA/Sederajat;700000;600000;TIDAK
PEREMPUAN;18;CIREBON;0;KARYAWAN SWASTA;SD;SD;500000;500000;YA
PEREMPUAN;18;CIMAHI;2400000;WIRASWASTA;SD;SMP;800000;800000;TIDAK
PEREMPUAN;18;PEKALONGAN;8000000;PEGAWAI BUMN;S1;DIPLOMA;1000000;950000;TIDAK
PEREMPUAN;18;JAKARTA;6000000;WIRASWASTA;SMA/Sederajat;SMA/Sederajat;1500000;1000000;TIDAK
PEREMPUAN;18;MALANG;8000000;TNI/POLRI;SMA/Sederajat;DIPLOMA;1500000;1200000;TIDAK
PEREMPUAN;18;JAMBI;2400000;WIRASWASTA;SMA/Sederajat;SMA/Sederajat;850000;650000;TIDAK
LAKI-LAKI;19;BOGOR;2400000;GURU;S1;S1;1000000;800000;TIDAK
PEREMPUAN;18;PASURUAN;2400000;KARYAWAN SWASTA;S1;S1;200000;500000;YA
